timestamp,open,high,low,close,volume
1641160800,1.35256,1.35336,1.35215,1.35281,392
1641164400,1.35302,1.35328,1.35194,1.35206,532
1641168000,1.35208,1.35253,1.35165,1.35167,683
1641171600,1.35167,1.35295,1.35149,1.35179,1537
1641175200,1.35180,1.35180,1.35035,1.35042,914
1641178800,1.35043,1.35063,1.34946,1.34989,770
1641182400,1.34989,1.35054,1.34949,1.34979,528
1641186000,1.34979,1.35005,1.34949,1.34983,555
1641189600,1.34983,1.35073,1.34972,1.35048,705
1641193200,1.35058,1.35066,1.34960,1.35055,1335
1641196800,1.35055,1.35229,1.35027,1.35222,2452
1641200400,1.35221,1.35280,1.35125,1.35168,2114
1641204000,1.35168,1.35245,1.35087,1.35110,2189
1641207600,1.35113,1.35219,1.35079,1.35103,1896
1641211200,1.35103,1.35122,1.35004,1.35053,1914
1641214800,1.35052,1.35062,1.34831,1.34868,3776
1641218400,1.34868,1.34919,1.34545,1.34601,4472
1641222000,1.34604,1.34647,1.34308,1.34464,5324
1641225600,1.34464,1.34689,1.34362,1.34661,3703
1641229200,1.34661,1.34768,1.34655,1.34710,1843
1641232800,1.34711,1.34835,1.34700,1.34790,1394
1641236400,1.34789,1.34856,1.34774,1.34843,1682
1641240000,1.34843,1.34852,1.34738,1.34788,1675
1641243600,1.34788,1.34817,1.34756,1.34786,713
1641247200,1.34763,1.34788,1.34653,1.34732,460
1641250800,1.34727,1.34841,1.34721,1.34812,549
1641254400,1.34812,1.34843,1.34724,1.34780,784
1641258000,1.34776,1.34832,1.34766,1.34798,718
1641261600,1.34799,1.34802,1.34717,1.34729,844
1641265200,1.34728,1.34740,1.34625,1.34641,730
1641268800,1.34640,1.34763,1.34631,1.34695,717
1641272400,1.34694,1.34732,1.34667,1.34685,808
1641276000,1.34691,1.34701,1.34597,1.34635,985
1641279600,1.34634,1.34888,1.34610,1.34883,1737
1641283200,1.34883,1.35019,1.34827,1.34912,2650
1641286800,1.34912,1.35136,1.34884,1.35109,3286
1641290400,1.35102,1.35148,1.35000,1.35001,2890
1641294000,1.35001,1.35026,1.34842,1.34955,2719
1641297600,1.34954,1.34961,1.34788,1.34829,2821
1641301200,1.34829,1.35151,1.34828,1.35147,3556
1641304800,1.35150,1.35293,1.35087,1.35155,3751
1641308400,1.35156,1.35575,1.35156,1.35531,5275
1641312000,1.35531,1.35539,1.35343,1.35419,4390
1641315600,1.35418,1.35480,1.35342,1.35357,1894
