timestamp,open,high,low,close,volume
1641160800,1.35256,1.35336,1.34308,1.34786,43098
1641247200,1.34763,1.35575,1.34597,1.35281,47410
1641333600,1.35254,1.35985,1.35197,1.35539,53442
1641420000,1.35521,1.35587,1.34902,1.35313,57135
1641506400,1.35309,1.35971,1.35251,1.35903,48614
1641765600,1.35664,1.36036,1.35321,1.35761,52787
1641852000,1.35746,1.36358,1.35609,1.3634,53876
1641938400,1.3633,1.37142,1.36206,1.37004,50043
1642024800,1.37003,1.37489,1.36984,1.37051,51844
1642111200,1.37046,1.37432,1.36533,1.36793,60036
1642370400,1.36646,1.36899,1.36373,1.36447,51587
1642456800,1.36437,1.36616,1.35725,1.35939,82325
1642543200,1.35934,1.36488,1.35878,1.36113,72429
1642629600,1.36103,1.36616,1.35871,1.35981,71159
1642716000,1.35981,1.36019,1.35457,1.35511,82492
1642975200,1.35446,1.35652,1.34399,1.3487,87791
1643061600,1.34865,1.35188,1.3436,1.35024,100174
1643148000,1.34991,1.35248,1.3444,1.34622,103684
1643234400,1.34623,1.34677,1.33577,1.33817,123264
1643320800,1.338,1.3433,1.3365,1.33941,114947
1643580000,1.33906,1.34607,1.3386,1.34457,93435
1643666400,1.34437,1.3528,1.34339,1.3522,94612
1643752800,1.35195,1.35868,1.35137,1.35763,85894
1643839200,1.35734,1.36281,1.35378,1.35963,111490
1643925600,1.35943,1.36153,1.3505,1.35275,98214
1644184800,1.35336,1.35509,1.34906,1.35354,79501
1644271200,1.35355,1.35638,1.35074,1.35435,70388
1644357600,1.35434,1.35892,1.35266,1.35329,65377
1644444000,1.35323,1.36435,1.35232,1.35572,107047
1644530400,1.35569,1.36095,1.35141,1.35601,125374
1644789600,1.35435,1.35718,1.34948,1.35302,113220
1644876000,1.35274,1.35666,1.34865,1.35369,93173
1644962400,1.35368,1.36009,1.3527,1.35837,88263
1645048800,1.35831,1.36378,1.35554,1.36155,114888
1645135200,1.36132,1.36428,1.35733,1.35923,90542
1645394400,1.35784,1.36386,1.35784,1.36005,82820
1645480800,1.35982,1.36044,1.35382,1.35853,105989
1645567200,1.35826,1.36204,1.3536,1.35428,92395
1645653600,1.35402,1.35488,1.32731,1.33764,182335
1645740000,1.33754,1.34387,1.33666,1.34096,118744
1645999200,1.33217,1.34317,1.33217,1.34179,133689
1646085600,1.3417,1.34375,1.33021,1.33239,110638
1646172000,1.33224,1.34064,1.32712,1.34046,125789
1646258400,1.34032,1.34178,1.33174,1.33468,107707
1646344800,1.3342,1.33534,1.32022,1.32331,126486
1646604000,1.32129,1.32516,1.31019,1.31033,163249
1646690400,1.31035,1.31444,1.30816,1.30997,166083
1646776800,1.30999,1.319,1.30878,1.31795,116667
1646863200,1.31794,1.31945,1.30808,1.30851,116139
1646949600,1.30835,1.3125,1.30274,1.30363,116078
1647208800,1.3033,1.30788,1.30003,1.30039,104820
1647295200,1.30024,1.30887,1.30001,1.3037,111174
1647381600,1.3036,1.31566,1.30352,1.31456,123973
1647468000,1.31425,1.32109,1.30878,1.31491,100041
1647554400,1.31484,1.31972,1.31104,1.31762,91194
1647813600,1.3169,1.32101,1.31269,1.31642,71170
