timestamp,open,high,low,close,volume
1641074400,115.058,116.349,114.946,115.551,316120
1641679200,115.522,115.85,113.48,114.198,276302
1642284000,114.117,115.058,113.602,113.692,318392
1642888800,113.626,115.687,113.469,115.234,470700
1643493600,115.257,115.593,114.153,115.182,431039
1644098400,115.269,116.342,114.913,115.432,422510
1644703200,115.324,115.874,114.787,115.032,507090
1645308000,115.004,115.76,114.407,115.526,566610
1645912800,115.225,115.807,114.649,114.854,551588
1646517600,114.897,117.357,114.813,117.293,505651
1647122400,117.332,119.397,117.308,119.154,394527
1647727200,119.102,122.437,119.081,122.089,425017
1648332000,122.004,125.1,121.281,122.559,724896
1648936800,122.597,124.676,122.261,124.281,489307
1649541600,124.013,126.685,124.013,126.356,573067
1650146400,126.312,129.4,126.231,128.537,636512
1650751200,128.553,131.251,126.927,129.863,793599
1651356000,129.726,130.808,128.623,130.553,705068
1651960800,130.491,131.348,127.52,129.257,833642
1652565600,129.187,129.782,127.024,127.924,693237
1653170400,127.84,128.088,126.359,127.111,617666
1653775200,126.957,130.981,126.854,130.811,616742
1654380000,130.854,134.558,130.431,134.354,732868
1654984800,134.297,135.589,131.493,134.944,1072651
1655589600,134.901,136.713,134.26,135.189,950023
1656194400,135.29,137.006,134.523,135.256,1040151
1656799200,135.296,136.566,134.781,136.106,950961
1657404000,135.996,139.387,135.996,138.535,984720
1658008800,138.442,138.878,135.564,136.069,902001
1658613600,136.116,137.457,132.502,133.224,847357
1659218400,133.196,135.501,130.395,134.987,968234
1659823200,134.976,135.58,131.731,133.489,1053898
1660428000,133.326,137.23,132.554,136.877,1009353
1661032800,136.845,137.708,135.808,137.507,957752
1661637600,137.606,140.801,137.566,140.222,897680
1662242400,140.143,144.992,140.108,142.63,999368
1662847200,142.097,144.958,141.623,142.956,887380
1663452000,142.851,145.898,140.348,143.332,717006
1664056800,143.633,144.904,143.209,144.793,787633
1664661600,144.596,145.441,143.524,145.384,631567
1665266400,145.201,148.863,145.201,148.743,945483
1665871200,148.559,151.945,146.193,147.674,933395
1666476000,147.576,149.709,145.105,147.476,854731
1667080800,147.753,148.851,145.672,146.655,964466
1667685600,146.98,147.57,138.463,138.767,825376
1668290400,139.083,140.801,137.671,140.378,1163531
1668895200,140.256,142.254,138.048,139.17,874098
1669500000,139.262,139.895,133.62,134.314,842610
