timestamp,open,high,low,close,volume
1641160800,115.058,115.131,115.022,115.116,604
1641164400,115.122,115.156,115.098,115.141,1728
1641168000,115.141,115.293,115.122,115.277,1862
1641171600,115.277,115.281,115.18,115.213,1433
1641175200,115.212,115.276,115.202,115.276,1027
1641178800,115.275,115.305,115.245,115.274,1021
1641182400,115.277,115.306,115.264,115.271,568
1641186000,115.271,115.315,115.27,115.311,966
1641189600,115.31,115.361,115.309,115.331,1247
1641193200,115.332,115.343,115.265,115.291,1419
1641196800,115.291,115.304,115.237,115.256,2489
1641200400,115.256,115.27,115.149,115.175,3075
1641204000,115.174,115.178,115.057,115.082,3078
1641207600,115.082,115.097,114.994,115.067,3231
1641211200,115.067,115.141,115.048,115.064,2290
1641214800,115.065,115.164,114.946,115.142,4144
1641218400,115.142,115.332,115.135,115.303,5736
1641222000,115.303,115.366,115.258,115.291,5163
1641225600,115.291,115.336,115.242,115.268,3541
1641229200,115.268,115.342,115.257,115.318,1263
1641232800,115.318,115.326,115.269,115.276,873
1641236400,115.276,115.335,115.259,115.334,1396
1641240000,115.333,115.352,115.261,115.344,1024
1641243600,115.344,115.353,115.321,115.327,860
1641247200,115.308,115.351,115.272,115.307,2823
1641250800,115.307,115.353,115.287,115.327,1185
1641254400,115.329,115.434,115.288,115.386,2533
1641258000,115.384,115.483,115.339,115.414,2107
1641261600,115.414,115.629,115.399,115.596,1940
1641265200,115.592,115.815,115.555,115.707,3208
1641268800,115.707,115.812,115.706,115.789,1896
1641272400,115.787,115.801,115.744,115.747,1899
1641276000,115.746,115.802,115.702,115.801,1578
1641279600,115.8,115.8,115.652,115.738,3283
1641283200,115.738,115.854,115.71,115.841,3977
1641286800,115.841,115.888,115.793,115.828,3076
1641290400,115.828,115.898,115.806,115.897,2521
1641294000,115.894,116.174,115.893,116.143,3390
1641297600,116.143,116.349,116.124,116.304,4763
1641301200,116.303,116.347,116.237,116.261,4565
1641304800,116.261,116.335,116.23,116.236,4711
1641308400,116.24,116.26,116.035,116.136,6287
1641312000,116.139,116.168,115.95,116.141,4134
1641315600,116.141,116.196,116.127,116.172,1637
1641319200,116.171,116.182,116.085,116.158,1376
1641322800,116.158,116.182,116.077,116.11,1692
1641326400,116.11,116.15,116.088,116.096,1182
1641330000,116.096,116.148,116.094,116.14,1395
1641333600,116.126,116.146,116.03,116.142,1621
1641337200,116.142,116.231,116.127,116.172,1414
1641340800,116.173,116.252,116.116,116.196,2336
1641344400,116.196,116.202,115.9,116.014,2777
1641348000,116.013,116.057,115.952,115.985,2255
1641351600,115.985,116.01,115.896,116.006,1632
1641355200,116.008,116.076,115.952,116.057,1530
1641358800,116.057,116.102,115.989,116.0,1983
1641362400,116.003,116.027,115.966,115.978,1650
1641366000,115.98,116.044,115.91,116.033,2890
1641369600,116.033,116.043,115.862,115.915,3758
1641373200,115.915,115.953,115.781,115.857,3178
1641376800,115.856,115.87,115.727,115.767,3490
1641380400,115.767,115.794,115.619,115.673,2948
1641384000,115.672,115.811,115.644,115.8,3128
1641387600,115.8,115.934,115.732,115.8,5575
1641391200,115.8,115.835,115.671,115.732,4000
1641394800,115.729,115.849,115.714,115.786,4138
1641398400,115.789,115.976,115.76,115.915,3457
1641402000,115.915,116.002,115.908,115.969,1731
1641405600,115.97,116.04,115.949,116.021,1306
1641409200,116.021,116.184,116.0,116.156,6377
1641412800,116.156,116.163,116.093,116.115,2944
1641416400,116.117,116.125,116.075,116.115,1210
1641420000,116.079,116.129,116.051,116.116,2402
1641423600,116.107,116.132,116.081,116.125,1506
1641427200,116.121,116.181,116.003,116.091,2672
1641430800,116.091,116.096,115.907,115.924,3434
1641434400,115.923,115.954,115.821,115.943,2809
1641438000,115.944,115.962,115.847,115.854,2060
1641441600,115.854,115.897,115.822,115.883,2210
1641445200,115.882,115.975,115.84,115.867,2085
1641448800,115.868,115.901,115.785,115.883,2023
1641452400,115.883,115.957,115.852,115.87,3642
1641456000,115.871,115.913,115.667,115.79,5163
1641459600,115.79,115.802,115.656,115.749,3182
1641463200,115.749,115.893,115.733,115.867,3518
1641466800,115.867,115.881,115.753,115.799,2853
1641470400,115.797,115.879,115.773,115.808,3916
1641474000,115.808,115.851,115.695,115.748,5634
1641477600,115.748,115.865,115.718,115.768,6172
1641481200,115.707,115.807,115.623,115.744,8080
1641484800,115.746,115.818,115.69,115.78,4262
1641488400,115.779,115.835,115.758,115.807,2100
1641492000,115.806,115.887,115.759,115.852,1373
1641495600,115.852,115.95,115.814,115.947,2006
1641499200,115.946,115.951,115.864,115.9,1324
1641502800,115.9,115.935,115.834,115.839,1295
1641506400,115.838,115.846,115.794,115.842,2894
1641510000,115.841,115.889,115.84,115.861,1463
1641513600,115.861,116.048,115.858,115.955,2466
1641517200,115.952,115.974,115.87,115.896,2472
1641520800,115.896,115.937,115.831,115.873,2154
1641524400,115.873,115.897,115.857,115.869,1166
1641528000,115.868,115.921,115.856,115.918,893
1641531600,115.919,115.928,115.886,115.912,1146
1641535200,115.911,115.948,115.891,115.939,1274
1641538800,115.938,115.945,115.844,115.876,2727
1641542400,115.882,115.933,115.753,115.786,3496
1641546000,115.786,115.862,115.78,115.847,2766
1641549600,115.845,115.854,115.8,115.837,1265
1641553200,115.837,115.842,115.776,115.798,1103
1641556800,115.799,115.857,115.766,115.855,1902
1641560400,115.856,115.93,115.687,115.85,7178
1641564000,115.85,115.88,115.666,115.693,5403
1641567600,115.692,115.788,115.588,115.638,5097
1641571200,115.638,115.717,115.58,115.612,3499
1641574800,115.612,115.666,115.594,115.621,1604
1641578400,115.622,115.64,115.55,115.585,1086
1641582000,115.585,115.603,115.547,115.556,1027
1641585600,115.556,115.618,115.549,115.558,956
1641589200,115.558,115.6,115.534,115.551,838
1641765600,115.522,115.612,115.52,115.593,349
1641769200,115.593,115.669,115.581,115.621,1329
1641772800,115.621,115.664,115.575,115.594,1060
1641776400,115.593,115.662,115.546,115.641,1326
1641780000,115.641,115.789,115.636,115.78,1230
1641783600,115.777,115.85,115.745,115.8,1482
1641787200,115.8,115.813,115.769,115.809,745
1641790800,115.81,115.824,115.785,115.81,819
1641794400,115.81,115.826,115.761,115.776,1089
1641798000,115.776,115.803,115.741,115.794,1941
1641801600,115.794,115.815,115.65,115.652,4037
1641805200,115.652,115.688,115.617,115.669,2535
1641808800,115.669,115.681,115.559,115.574,2200
1641812400,115.573,115.584,115.3,115.314,3227
1641816000,115.315,115.328,115.178,115.242,4115
1641819600,115.245,115.417,115.21,115.389,4292
1641823200,115.388,115.46,115.242,115.357,5506
1641826800,115.354,115.383,115.082,115.113,4883
1641830400,115.113,115.163,115.041,115.143,2810
1641834000,115.146,115.162,115.051,115.085,1957
1641837600,115.086,115.244,115.086,115.224,1325
1641841200,115.224,115.25,115.166,115.213,1347
1641844800,115.215,115.251,115.19,115.251,1579
1641848400,115.251,115.269,115.187,115.203,1151
1641852000,115.184,115.224,115.117,115.213,1281
1641855600,115.229,115.301,115.205,115.278,1245
1641859200,115.279,115.336,115.172,115.317,2572
1641862800,115.317,115.365,115.248,115.337,2420
1641866400,115.338,115.387,115.307,115.347,1606
1641870000,115.347,115.387,115.331,115.37,998
1641873600,115.369,115.369,115.241,115.246,1412
1641877200,115.246,115.292,115.223,115.271,1729
1641880800,115.27,115.28,115.199,115.22,1195
1641884400,115.219,115.285,115.122,115.255,3230
1641888000,115.257,115.32,115.221,115.317,3669
1641891600,115.317,115.418,115.3,115.376,3160
1641895200,115.377,115.46,115.354,115.443,2292
1641898800,115.443,115.475,115.35,115.403,2041
1641902400,115.4,115.501,115.392,115.497,2128
1641906000,115.498,115.645,115.493,115.609,3225
1641909600,115.608,115.681,115.517,115.546,4759
1641913200,115.551,115.579,115.384,115.465,4708
1641916800,115.465,115.493,115.354,115.397,3728
1641920400,115.397,115.484,115.384,115.458,1402
1641924000,115.458,115.46,115.358,115.368,1442
1641927600,115.368,115.425,115.321,115.348,1590
1641931200,115.348,115.371,115.272,115.294,1151
1641934800,115.296,115.305,115.267,115.289,883
1641938400,115.274,115.318,115.274,115.314,2909
1641942000,115.312,115.354,115.29,115.334,1583
1641945600,115.334,115.355,115.248,115.25,1512
1641949200,115.25,115.321,115.229,115.29,1345
1641952800,115.296,115.4,115.251,115.351,1517
1641956400,115.348,115.377,115.31,115.376,1296
1641960000,115.376,115.403,115.353,115.387,876
1641963600,115.386,115.386,115.314,115.356,1071
1641967200,115.355,115.356,115.308,115.336,966
1641970800,115.336,115.432,115.284,115.402,2310
1641974400,115.402,115.449,115.35,115.353,2953
1641978000,115.352,115.377,115.291,115.36,2402
1641981600,115.361,115.468,115.326,115.456,2003
1641985200,115.456,115.46,115.377,115.398,1797
1641988800,115.398,115.442,115.353,115.427,1768
1641992400,115.427,115.45,115.113,115.206,5900
1641996000,115.206,115.313,115.046,115.101,5697
1641999600,115.096,115.129,114.83,114.849,6174
1642003200,114.849,114.896,114.716,114.727,3748
1642006800,114.727,114.749,114.519,114.522,2183
1642010400,114.525,114.641,114.523,114.601,1737
1642014000,114.601,114.609,114.378,114.386,2887
1642017600,114.386,114.563,114.381,114.528,1546
1642021200,114.528,114.642,114.493,114.629,1528
1642024800,114.616,114.679,114.614,114.673,492
1642028400,114.673,114.703,114.63,114.672,1247
1642032000,114.671,114.7,114.572,114.644,2340
1642035600,114.643,114.654,114.496,114.567,2198
1642039200,114.567,114.657,114.565,114.638,1567
1642042800,114.638,114.638,114.525,114.538,1126
1642046400,114.539,114.601,114.537,114.565,975
1642050000,114.566,114.574,114.496,114.561,1092
1642053600,114.561,114.651,114.553,114.619,1270
1642057200,114.619,114.646,114.411,114.411,2421
1642060800,114.409,114.506,114.362,114.489,2197
1642064400,114.488,114.596,114.485,114.534,1820
1642068000,114.534,114.577,114.461,114.521,1555
1642071600,114.52,114.525,114.437,114.509,1506
1642075200,114.507,114.543,114.241,114.35,2767
1642078800,114.352,114.382,114.209,114.28,4072
1642082400,114.279,114.328,114.159,114.309,3737
1642086000,114.306,114.37,114.07,114.121,5042
1642089600,114.119,114.15,114.009,114.053,2575
1642093200,114.053,114.089,113.998,114.059,1633
1642096800,114.059,114.155,114.058,114.136,1236
1642100400,114.135,114.151,114.067,114.068,925
1642104000,114.068,114.143,114.048,114.14,1173
1642107600,114.14,114.175,114.105,114.171,881
1642111200,114.16,114.195,114.119,114.181,1508
