name,source_tier,rank,symbol,timeframe_label,direction,category,sharpe,profit_factor,win_rate,trades,max_dd,oos_sharpe,sl,tp,entry_pseudo,exit_pseudo,likely_test_artifact
Bred-MACD--890-Gen1-N3981449038-520,B,B,USDJPY,H4,BOTH,TREND,0.22276168,1.1222817,0.39754236,3011,0.0020924078,0.0,0.23563367,0.5698172,STOCH-K crosses above 50,MACD-LINE crosses below SIGNAL-LINE,False
Bred-MACD--960-Gen1-N3981107329-534,B,B,USDJPY,H4,BOTH,TREND,0.1769277,1.1091065,0.36553192,2350,0.0017572406,0.0,0.39098918,0.8493586,(MACD-LINE > 0 AND MACD-LINE crosses above SIGNAL-LINE),MACD-LINE crosses below SIGNAL-LINE,False
Bred-Pullb-694-Gen1-N3981490044-224,B,B,USDJPY,H1,BOTH,TREND,0.20274109,1.0783015,0.36562228,6958,0.0019292366,0.0,0.21920004,0.7237171,(EMA-5 > EMA-8 AND EMA-8 > EMA-13),EMA-5 crosses below EMA-8,False
Bred-Puria-196-Gen1-N3981107329-542,B,B,USDJPY,H1,BOTH,TREND,0.15261684,1.0543325,0.37712586,7056,0.0018901738,0.0,0.23399654,0.4913927,(EMA-5 crosses above SMA-75 AND MACD-LINE > 0),EMA-5 crosses below SMA-75,False
Bred-Puria-921-Gen1-N3981449099-545,B,B,USDJPY,H4,BOTH,TREND,0.19883332,1.0789729,0.44968227,6767,0.0029523333,0.0,0.32853144,0.7391959,(STOCH-K < 20 AND STOCH-K crosses above STOCH-D),EMA-5 crosses below SMA-75,False
Bred-RSI-B-296-Gen1-N3981140644-150,B,B,USDJPY,H4,BOTH,TREND,0.20920786,1.1142503,0.40252408,3011,0.0020231826,0.0,0.25759688,0.579593,STOCH-K crosses above 10,RSI-14 crosses below 50,False
Bred-RSI-M-924-Gen1-N3981489460-139,B,B,USDJPY,W1,BOTH,TREND,0.15108281,1.5001695,0.5126051,119,0.0008079229,0.0,0.24246612,0.5106694,RSI-14 crosses above 50,RSI-14 crosses below 50,False
Bred-RSI-O-644-Gen1-N3981490099-254,B,B,USDJPY,H4,BOTH,TREND,0.18299967,1.1010454,0.3942212,3011,0.0020805758,0.0,0.2855311,0.6859004,RSI-14 crosses above 30,RSI-14 > 70,False
Bred-RSI-S-915-Gen1-N3981490717-418,B,B,USDJPY,H4,BOTH,TREND,0.19889988,1.0884277,0.40771198,5472,0.0043404475,0.0,0.2643388,0.7378807,(RSI-14 < 30 AND STOCH-K < 20),(RSI-14 > 70 OR STOCH-K > 80),False
Bred-RSI-S-967-Gen1-N3981105648-122,B,B,USDJPY,W1,BOTH,TREND,0.21182235,2.0235665,0.5638298,94,0.00078157,0.0,0.2251231,0.506527,(RSI-14 < 30 AND STOCH-K < 20),(RSI-14 > 70 OR STOCH-K > 80),False
Bred-RSI-V-22-Gen1-N3981489739-177,B,B,USDJPY,H1,BOTH,TREND,0.22065413,1.0809504,0.41787606,7373,0.0025734457,0.0,0.2794856,0.612446,RSI-14 crosses above 60,RSI-14 crosses below 40,False
Bred-Tripl-320-Gen1-N3981140086-42,B,B,USDJPY,W1,BOTH,TREND,0.182218,1.8250859,0.5846154,65,0.00052792026,0.0,0.4389759,0.9218493,(CLOSE > EMA-50 AND MACD-LINE > 0 AND RSI-14 < 50),RSI-14 > 70,False
Bred-Tripl-430-Gen1-N3981448858-453,B,B,USDJPY,W1,BOTH,TREND,0.20310897,2.279483,0.6170213,47,0.0003386248,0.0,0.2681959,0.76779336,(EMA-10 > EMA-20 AND EMA-20 > EMA-50),EMA-10 crosses below EMA-20,False
Bred-Tripl-439-Gen1-N3981448858-451,B,B,USDJPY,H1,BOTH,TREND,0.26562062,1.1111932,0.4144718,7062,0.0025787917,0.0,0.46707126,1.0845349,(CLOSE > EMA-50 AND MACD-LINE > 0 AND RSI-14 < 50),RSI-14 > 70,False
Bred-Tripl-505-Gen1-N3981449098-533,B,B,USDJPY,H1,BOTH,TREND,0.2266204,1.0902473,0.39249554,6716,0.001921676,0.0,0.31998718,0.7410945,(EMA-10 > EMA-20 AND EMA-20 > EMA-50),EMA-10 crosses below EMA-20,False
Bred-Tripl-920-Gen1-N3981141590-459,B,B,USDJPY,H1,BOTH,TREND,0.17571169,1.0638946,0.42144057,7733,0.0034540957,0.0,0.31592947,0.66345185,(CLOSE > EMA-50 AND MACD-LINE > 0 AND RSI-14 < 50),RSI-14 > 70,False
Hunted-D1-VWAPVR-50-220-EURUSD,B,B,EURUSD,D1,BOTH,TREND,0.059477635,1.5884622,0.3333333,21,9.175801e-06,0.0,1.2,4.0,(VWAPVR-50-PREV < VWAPVR-THRESHOLD AND VWAPVR-50 >= VWAPVR-THRESHOLD),VWAPVR-50 <= 0,False
Hunted-D1-VWAPVR-80-180-GBPUSD,B,B,GBPUSD,D1,BOTH,TREND,0.06666469,1.5940201,0.40625,32,1.755e-05,0.0,1.2,4.0,(VWAPVR-80-PREV < VWAPVR-THRESHOLD AND VWAPVR-80 >= VWAPVR-THRESHOLD),VWAPVR-80 <= 0,False
Hunted-H12-VWAPVR-50-150-USDJPY,B,B,USDJPY,M720,BOTH,TREND,0.11988303,1.332982,0.26976743,215,0.0020538378,0.0,1.6,6.0,(VWAPVR-50-PREV < VWAPVR-THRESHOLD AND VWAPVR-50 >= VWAPVR-THRESHOLD),VWAPVR-50 <= 0,False
Test-Legend-Reval,RETIRED,RETIRED,USDJPY,M1,BOTH,TREND,-50.251144,0.20430136,0.1969246,477401,0.24116927,0.0,0.0,0.0,NIL,NIL,True
