timestamp,strategy,median_sharpe,paths,pass_rate,outcome
3979719013,Bred-Bred--550-Gen307,-22.5984,45,0.0000,FAIL
3979719046,Bred-Legen-516-Gen245,-22.6974,45,0.0000,FAIL
3979719078,Bred-Legen-604-Gen2,-22.5758,45,0.0000,FAIL
3979719109,Legend-Golden-Cross-Classic,-22.6080,45,0.0000,FAIL
3979719138,Bred-Bred--212-Gen306,-22.5082,45,0.0000,FAIL
3979719170,Bred-Bred--550-Gen307,-22.5984,45,0.0000,FAIL
3979719203,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979719233,Bred-Legen-604-Gen2,-22.5758,45,0.0000,FAIL
3979719264,Bred-Bred--212-Gen306,-22.5082,45,0.0000,FAIL
3979719296,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979720583,UT-CPCV-ERR,0.0000,0,0.0000,FAIL
3979720667,UT-CPCV-ERR,0.0000,0,0.0000,FAIL
3979720667,UT-CPCV-FAIL,0.1000,10,0.2000,FAIL
3979720968,AAA,0.0000,0,0.0000,FAIL
3979721299,Bred-Legen-166-Gen234,-22.5879,45,0.0000,FAIL
3979721326,Bred-Legen-808-Gen2,-22.4986,45,0.0000,FAIL
3979721358,Bred-Bred--550-Gen307,-22.5984,45,0.0000,FAIL
3979721387,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979721419,Bred-Legen-604-Gen2,-22.5758,45,0.0000,FAIL
3979721451,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979721482,Bred-Bred--863-Gen185,-22.8331,45,0.0000,FAIL
3979721514,Bred-Bred--994-Gen260,-22.5115,45,0.0000,FAIL
3979721541,Bred-Bred--848-Gen320,-22.5355,45,0.0000,FAIL
3979721572,Bred-Bred--212-Gen306,-22.5082,45,0.0000,FAIL
3979721602,Bred-Bred--742-Gen311,-22.5820,45,0.0000,FAIL
3979721634,Bred-Bred--79-Gen349,-22.4088,45,0.0000,FAIL
3979721666,Bred-Bred--367-Gen214,-22.6755,45,0.0000,FAIL
3979721697,Bred-Bred--475-Gen221,-22.6158,45,0.0000,FAIL
3979721729,Bred-Bred--560-Gen311,-22.6954,45,0.0000,FAIL
3979721757,Bred-Bred--617-Gen334,-22.4088,45,0.0000,FAIL
3979722735,Bred-Legen-808-Gen2,-22.4986,45,0.0000,FAIL
3979722736,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979722768,Bred-Legen-959-Gen187,-22.5984,45,0.0000,FAIL
3979722799,Bred-Bred--742-Gen311,-22.5820,45,0.0000,FAIL
3979722832,Bred-Bred--617-Gen334,-22.4088,45,0.0000,FAIL
3979722864,Bred-Bred--848-Gen320,-22.5355,45,0.0000,FAIL
3979722897,Bred-Bred--994-Gen260,-22.5115,45,0.0000,FAIL
3979722991,Bred-Bred--550-Gen307,-22.5984,45,0.0000,FAIL
3979722992,Bred-Legen-648-Gen196,-22.4322,45,0.0000,FAIL
3979722997,Bred-Legen-718-Gen259,-22.7457,45,0.0000,FAIL
3979723019,Bred-Bred--893-Gen161,-22.5984,45,0.0000,FAIL
3979723050,Bred-Legen-190-Gen225,-22.5879,45,0.0000,FAIL
3979723080,Bred-Legen-796-Gen2,-22.6452,45,0.0000,FAIL
3979723112,Bred-Legen-604-Gen2,-22.5758,45,0.0000,FAIL
3979723144,Bred-Bred--855-Gen208,-22.6833,45,0.0000,FAIL
3979723176,Bred-Bred--367-Gen214,-22.6755,45,0.0000,FAIL
3979723240,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979723241,Bred-Bred--212-Gen306,-22.5082,45,0.0000,FAIL
3979723266,Bred-Legen-792-Gen2,-22.5556,45,0.0000,FAIL
3979723297,Bred-Legen-951-Gen167,-22.4322,45,0.0000,FAIL
3979724209,AAA,0.0000,0,0.0000,FAIL
3979724734,AAA,0.0000,0,0.0000,FAIL
3979724777,AAA,0.0000,0,0.0000,FAIL
3979725086,AAA,0.0000,0,0.0000,FAIL
3979725237,AAA,0.0000,0,0.0000,FAIL
3979726648,AAA,0.0000,0,0.0000,FAIL
3979731580,Bred-Legen-391-Gen2,-22.4514,45,0.0000,FAIL
3979731608,Bred-Bred--303-Gen151,-22.5379,45,0.0000,FAIL
3979731637,Bred-Legen-244-Gen2,-22.7860,45,0.0000,FAIL
3979731662,Bred-Legen-951-Gen167,-22.4322,45,0.0000,FAIL
3979731691,Bred-Bred--855-Gen208,-22.6833,45,0.0000,FAIL
3979731719,Bred-Legen-648-Gen196,-22.4322,45,0.0000,FAIL
3979731748,Bred-Legen-718-Gen259,-22.7457,45,0.0000,FAIL
